Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
2026-05-01,In flight,Hotel Artemide Rome,Fixed,Flight,08:25,"Arrival flight: UA 190","Rome Fiumicino (FCO)",https://maps.google.com/?q=Rome+Fiumicino+Airport,"Land 8:25 AM local. Clear customs and head to Leonardo Express train to Termini.",UA-190-7X4K2,,https://united.com,,
2026-05-01,In flight,Hotel Artemide Rome,Fixed,Hotel,14:30,"Check in: Hotel Artemide","Via Nazionale 22, Rome",https://maps.google.com/?q=Hotel+Artemide+Rome,"Early check-in from 2:30 PM. Rooftop bar opens at 5 PM — good for jetlag recovery.",ARTMD-881203,"€1,240 (3 nts)",,,
2026-05-02,Hotel Artemide Rome,Hotel Artemide Rome,Fixed,Activity,09:00,"Vatican City & St. Peter's Basilica","Vatican City",https://maps.google.com/?q=Vatican+City,"Timed entry — arrive 30 min early. Shoulders covered for both of you.",VTK-20260502-0900,€32,https://tickets.museivaticani.va,,
2026-05-03,Hotel Artemide Rome,Hotel Artemide Rome,Fixed,Activity,08:30,"Colosseum, Forum, Palatine Hill","Piazza del Colosseo",https://maps.google.com/?q=Colosseum+Rome,"Combined ticket. Enter via the Forum side — shorter line.",COLM-20260503-0830,€24,https://www.coopculture.it,,
2026-05-05,Hotel Artemide Rome,Hotel Loggiato dei Serviti Florence,Fixed,Hotel,11:00,"Check out of Hotel Artemide","Via Nazionale 22, Rome",,"Late checkout until noon already arranged.",,,,,
2026-05-05,Hotel Artemide Rome,Hotel Loggiato dei Serviti Florence,Fixed,Driving,12:30,"SIXT rental car pickup","Roma Termini SIXT counter",https://maps.google.com/?q=SIXT+Roma+Termini,"ZTL test day. Driver: Kim. Navigate around historic center ZTL cameras — use autostrada A1 north.",SIXT-99720-RM,€412 (5 days),,,
2026-05-05,Hotel Artemide Rome,Hotel Loggiato dei Serviti Florence,Fixed,Hotel,17:30,"Check in: Loggiato dei Serviti","Piazza della SS. Annunziata 3, Florence",https://maps.google.com/?q=Loggiato+dei+Serviti+Florence,"Park at Garage La Stazione (outside ZTL). Walk 8 min with luggage.",LOGG-FI-554018,€980 (4 nts),,,
2026-05-06,Hotel Loggiato dei Serviti Florence,Hotel Loggiato dei Serviti Florence,Fixed,Activity,09:15,"Uffizi Gallery — timed entry","Piazzale degli Uffizi",https://maps.google.com/?q=Uffizi+Gallery,"Renaissance marathon. Save 2 hours. Botticelli room midway.",UFF-20260506-0915,€28,https://www.uffizi.it,,
2026-05-06,Hotel Loggiato dei Serviti Florence,Hotel Loggiato dei Serviti Florence,Fixed,Activity,14:00,"Galleria dell'Accademia (The David)","Via Ricasoli 58-60",https://maps.google.com/?q=Galleria+dell+Accademia+Florence,"Afternoon slot — far less crowded than morning.",ACC-20260506-1400,€16,https://www.galleriaaccademiafirenze.it,,
2026-05-09,Hotel Loggiato dei Serviti Florence,Hotel Palazzo Stern Venice,Fixed,Driving,09:00,"SIXT car return — Florence","Florence SMN SIXT counter",https://maps.google.com/?q=SIXT+Florence+SMN,"Return with full tank. Then walk to train platform.",SIXT-99720-RM,,,,
